date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:27:59	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-62c79f0fc5e80%22	https://bonkx.io/robots.txt		(from )
23:28:00	9133/9133	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Sep%202025%2022:26:55%20GMT	https://bonkx.io/	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/index.html	(from )
23:28:00	53556/53556	---M--	200	added ('OK')	image/png	etag:%22d134-63b8792538e72%22	https://bonkx.io/assets/images/BonkXShare.png	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/BonkXShare.png	(from https://bonkx.io/)
23:28:01	24526/24526	---M-Z	200	added ('OK')	text/css	etag:%225fce-63de5c4877888-gzip%22	https://bonkx.io/assets/css/app.css	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/css/app.css	(from https://bonkx.io/)
23:28:01	9980/9980	---M-Z	200	added ('OK')	font/woff2	etag:%2226fc-63b22fcc4ca7e-gzip%22	https://bonkx.io/assets/fonts/Ortland-Regular.woff2	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/fonts/Ortland-Regular.woff2	(from https://bonkx.io/)
23:28:01	24526/24526	---M-Z	200	added ('OK')	text/css	etag:%225fce-63de5c4877888-gzip%22	https://bonkx.io/assets/css/app.css?v4	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/css/app5ed3.css	(from https://bonkx.io/)
23:28:01	39623/39623	---M-Z	200	added ('OK')	text/javascript	etag:%229ac7-63ce0cf38a5f6-gzip%22	https://bonkx.io/build/assets/app-B0fGPI7P.js	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/build/assets/app-B0fGPI7P.js	(from https://bonkx.io/)
23:28:02	1051/1051	---MC-	200	added ('OK')	text/javascript	date:Tue,%2030%20Sep%202025%2022:26:58%20GMT	https://www.google.com/recaptcha/api.js?hl=&render=6LfA1a0rAAAAAJ62XkBf4IkJcnyBTN83iE6Ow4oB	D:/bonkxdupalupa/bonkx%20dupalupa/www.google.com/recaptcha/api5981.js	(from https://bonkx.io/)
23:28:02	3139/3139	---M--	200	added ('OK')	image/svg+xml	etag:%22c43-63b5018fe0446%22	https://bonkx.io/assets/images/logo-bonkx.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/logo-bonkx.svg	(from https://bonkx.io/)
23:28:02	6368/6368	---M--	200	added ('OK')	image/svg+xml	etag:%2218e0-63b86c3e6bc88%22	https://bonkx.io/assets/images/tag-launch.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/tag-launch.svg	(from https://bonkx.io/)
23:28:03	11576/11576	---M--	200	added ('OK')	image/svg+xml	etag:%222d38-63b86c66ea4fd%22	https://bonkx.io/assets/images/head-visual.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/head-visual.svg	(from https://bonkx.io/)
23:28:03	14994/14994	---M--	200	added ('OK')	image/svg+xml	etag:%223a92-63b37dd06cd5a%22	https://bonkx.io/assets/images/icon-app-store.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/icon-app-store.svg	(from https://bonkx.io/)
23:28:03	7063/7063	---M--	200	added ('OK')	image/svg+xml	etag:%221b97-63b37dd017e26%22	https://bonkx.io/assets/images/icon-google-play.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/icon-google-play.svg	(from https://bonkx.io/)
23:28:03	150132/150132	---M--	200	added ('OK')	image/svg+xml	etag:%2224a74-63b37dcfcea6c%22	https://bonkx.io/assets/images/icon-solana-mobile.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/icon-solana-mobile.svg	(from https://bonkx.io/)
23:28:03	1513/1513	---M--	200	added ('OK')	image/svg+xml	etag:%225e9-63b3cfda2cba6%22	https://bonkx.io/assets/images/paw.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/paw.svg	(from https://bonkx.io/)
23:28:04	10392/10392	---M--	200	added ('OK')	image/svg+xml	etag:%222898-63b3cfa05b7e3%22	https://bonkx.io/assets/images/vis-over-how.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/vis-over-how.svg	(from https://bonkx.io/)
23:28:04	3378/3378	---M--	200	added ('OK')	image/svg+xml	etag:%22d32-63b3cfa0ae80e%22	https://bonkx.io/assets/images/lighter-mobile.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/lighter-mobile.svg	(from https://bonkx.io/)
23:28:04	13673/13673	---M--	200	added ('OK')	image/svg+xml	etag:%223569-63b86cdef6b2d%22	https://bonkx.io/assets/images/card.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/card.svg	(from https://bonkx.io/)
23:28:04	3911/3911	---M--	200	added ('OK')	image/svg+xml	etag:%22f47-63b4845a6a779%22	https://bonkx.io/assets/images/wallet.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/wallet.svg	(from https://bonkx.io/)
23:28:05	304/304	---M--	200	added ('OK')	image/svg+xml	etag:%22130-63b3cf3a121f3%22	https://bonkx.io/assets/images/icon-x.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/icon-x.svg	(from https://bonkx.io/)
23:28:05	1159/1159	---M--	200	added ('OK')	image/svg+xml	etag:%22487-63b86f89c6ed1%22	https://bonkx.io/assets/images/icon-telegram.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/icon-telegram.svg	(from https://bonkx.io/)
23:28:05	2226/2226	---M--	200	added ('OK')	image/svg+xml	etag:%228b2-63b491a3b388d%22	https://bonkx.io/assets/images/bonk-not-bank.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/bonk-not-bank.svg	(from https://bonkx.io/)
23:28:05	5405/5405	---M--	200	added ('OK')	image/svg+xml	etag:%22151d-63b3cfa146da1%22	https://bonkx.io/assets/images/footer.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/footer.svg	(from https://bonkx.io/)
23:28:06	16541/16541	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Sep%202025%2022:27:02%20GMT	https://bonkx.io/terms-and-conditions	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/terms-and-conditions.html	(from https://bonkx.io/)
23:28:06	29332/29332	---M-Z	200	added ('OK')	font/woff2	etag:%227294-63a96bce69f40-gzip%22	https://bonkx.io/assets/fonts/AllianceNo1-Regular.woff2	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/fonts/AllianceNo1-Regular.woff2	(from https://bonkx.io/assets/css/app.css)
23:28:07	40012/40012	---M-Z	200	added ('OK')	font/woff	etag:%229c4c-63a96bce69f40-gzip%22	https://bonkx.io/assets/fonts/AllianceNo1-Regular.woff	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/fonts/AllianceNo1-Regular.woff	(from https://bonkx.io/assets/css/app.css)
23:28:07	29884/29884	---M-Z	200	added ('OK')	font/woff2	etag:%2274bc-63a96bce69f40-gzip%22	https://bonkx.io/assets/fonts/AllianceNo1-Medium.woff2	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/fonts/AllianceNo1-Medium.woff2	(from https://bonkx.io/assets/css/app.css)
23:28:07	40880/40880	---M-Z	200	added ('OK')	font/woff	etag:%229fb0-63a96bce69f40-gzip%22	https://bonkx.io/assets/fonts/AllianceNo1-Medium.woff	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/fonts/AllianceNo1-Medium.woff	(from https://bonkx.io/assets/css/app.css)
23:28:07	13772/13772	---M-Z	200	added ('OK')	font/woff	etag:%2235cc-63b22fcc25980-gzip%22	https://bonkx.io/assets/fonts/Ortland-Regular.woff	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/fonts/Ortland-Regular.woff	(from https://bonkx.io/assets/css/app.css)
23:28:07	9544/9544	---M--	200	added ('OK')	image/svg+xml	etag:%222548-63b8765cc189c%22	https://bonkx.io/assets/images/vis-how-mobile.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/vis-how-mobile.svg	(from https://bonkx.io/assets/css/app.css)
23:28:08	270357/270357	---M--	200	added ('OK')	image/png	etag:%2242015-63b4fcba4ecae%22	https://bonkx.io/assets/images/world.png	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/world.png	(from https://bonkx.io/assets/css/app.css)
23:28:08	12084/12084	---M--	200	added ('OK')	image/svg+xml	etag:%222f34-63b8761ff1ac3%22	https://bonkx.io/assets/images/vis-how-desktop.svg	D:/bonkxdupalupa/bonkx%20dupalupa/bonkx.io/assets/images/vis-how-desktop.svg	(from https://bonkx.io/assets/css/app.css)
